login,description,nom,organisation_url,avatar_url,site_web,adresse,email,est_verifiee,nombre_repertoires,date_creation,plateforme
LAB-MI,Incubateur du ministère de l'intérieur,LAB MI,https://github.com/LAB-MI,https://avatars2.githubusercontent.com/u/40861536?v=4,,,beta@interieur.gouv.fr,False,4,2018-07-05T13:20:05Z,GitHub
ina-foss,,Institut National de l'Audiovisuel,https://github.com/ina-foss,https://avatars2.githubusercontent.com/u/10210683?v=4,http://www.ina.fr,France,,False,12,2014-12-16T16:27:51Z,GitHub
aife,"Agence pour l'Informatique Financière de l'État.

[www.economie.gouv.fr/aife/](https://www.economie.gouv.fr/aife/)",AIFE,https://gitlab.adullact.net/groups/aife,https://gitlab.adullact.net/uploads/-/system/group/avatar/985/Logo-AIFE.png,,,,,2,,GitLab
pocs,Preuves de concepts diverses,POCS,https://forge.grandlyon.com/groups/pocs,,,,,,0,,GitLab
systemes-dinformation,,systemes-dinformation,https://forge.grandlyon.com/groups/systemes-dinformation,,,,,,1,,GitLab
139bercy,,Ministères économiques et financiers,https://github.com/139bercy,https://avatars3.githubusercontent.com/u/52052387?v=4,https://www.economie.gouv.fr,,,False,4,2019-06-20T20:55:01Z,GitHub
healthdatahub,https://health-data-hub.fr,Health Data Hub,https://gitlab.com/groups/healthdatahub,https://assets.gitlab-static.net/uploads/-/system/group/avatar/5043343/logo_hdh_400x400.png,,,,,8,,GitLab
InseeFr,,,https://github.com/InseeFr,https://avatars1.githubusercontent.com/u/11526805?v=4,,,,False,23,2015-03-17T19:10:01Z,GitHub
sympa-community,The Sympa community.,The Sympa Community,https://github.com/sympa-community,https://avatars0.githubusercontent.com/u/25160739?v=4,https://www.sympa.org,https://www.sympa.org,sympa-developpers@listes.renater.fr,False,20,2017-01-16T21:12:00Z,GitHub
histovec,application (beta) du ministère de l'Intérieur, protéger les acheteurs de véhicules d’occasion,https://github.com/histovec,https://avatars0.githubusercontent.com/u/37241448?v=4,http://histovec.interieur.gouv.fr,,histovec@interieur.gouv.fr,False,3,2018-03-10T11:42:53Z,GitHub
openfun,"Higher Education Excellence. Online, Free and Open Courses.",France Université Numérique,https://github.com/openfun,https://avatars2.githubusercontent.com/u/7224891?v=4,https://www.fun-mooc.fr,"Paris, France",fun.dev@fun-mooc.fr,False,61,2014-04-08T12:08:59Z,GitHub
lutece-secteur-public,"Applications Métiers LUTECE destinées au Secteur Public. Ne contient pas les modules standards Lutece (moteur de formulaire, ...) hébergés sur lutece-platform",LUTECE Secteur Public,https://github.com/lutece-secteur-public,https://avatars0.githubusercontent.com/u/14327368?v=4,http://fr.lutece.paris.fr,France,,False,122,2015-09-17T08:20:05Z,GitHub
cget-carto,,,https://github.com/cget-carto,https://avatars1.githubusercontent.com/u/38493408?v=4,,,,False,15,2018-04-18T09:42:24Z,GitHub
ApieFrance,,Agence du Patrimoine Immateriel de l'Etat,https://github.com/ApieFrance,https://avatars1.githubusercontent.com/u/9610889?v=4,,"5 place des Vins-de-France, Paris",,False,2,2014-11-07T15:37:28Z,GitHub
ARCEP-dev,The French agency in charge of regulating telecommunications in France,ARCEP [Autorité de Régulation des Communications Électroniques et des Postes],https://github.com/ARCEP-dev,https://avatars1.githubusercontent.com/u/28592559?v=4,https://www.arcep.fr/,Paris FRANCE,,False,10,2017-05-10T09:12:58Z,GitHub
PnX-SI,,SI des parcs nationaux français,https://github.com/PnX-SI,https://avatars1.githubusercontent.com/u/10531541?v=4,,,,False,28,2015-01-14T13:24:26Z,GitHub
CEA-LIST,"Smart digital systems for Advanced Manufacturing, Embedded systems, Data intelligence and Health ionizing radiations",CEA LIST,https://github.com/CEA-LIST,https://avatars3.githubusercontent.com/u/24958773?v=4,http://www-list.cea.fr/,CEA Paris-Saclay - Nano-Innov,,False,5,2017-01-06T12:50:46Z,GitHub
PnCevennes,,,https://github.com/PnCevennes,https://avatars0.githubusercontent.com/u/8570760?v=4,,,,False,26,2014-08-27T16:37:57Z,GitHub
linbox-team,"LinBox, FFLAS-FFPACK, Givaro developer repositories",LinBox Team,https://github.com/linbox-team,https://avatars1.githubusercontent.com/u/13101892?v=4,http://linalg.org,Université Grenoble-Alpes,linbox-devel@googlegroups.com,False,4,2015-06-29T11:50:15Z,GitHub
MinistereSupRecherche,,Ministère de l'Enseignement supérieur de la Recherche et de l'Innovation,https://github.com/MinistereSupRecherche,https://avatars3.githubusercontent.com/u/39309220?v=4,http://esr.gouv.fr,Paris,github@recherche.gouv.fr,False,5,2018-05-15T15:48:47Z,GitHub
LETG,Unité Mixte de Recherche Littoral Environnement Télédétection et Géomatique,UMR LETG CNRS,https://github.com/LETG,https://avatars3.githubusercontent.com/u/12861431?v=4,http://letg.cnrs.fr/,,,False,12,2015-06-12T14:07:35Z,GitHub
communaute-cimi,The Information Technology Community of the (French) Interior Ministry,CIMI,https://github.com/communaute-cimi,https://avatars2.githubusercontent.com/u/6548778?v=4,http://www.interieur.gouv.fr/,Paris,cimi@interieur.gouv.fr,False,21,2014-01-30T22:05:58Z,GitHub
admin-donnees,Administrateurs de données (localisées ou non),Administrateurs de données,https://gitlab.cerema.fr/groups/admin-donnees,,,,,,1,,GitLab
Stream,,Stream : Simulation de trafic mésoscopique évenementielle,https://gitlab.cerema.fr/groups/Stream,,,,,,2,,GitLab
DGFiP,,Direction générale des finances publiques,https://github.com/DGFiP,https://avatars2.githubusercontent.com/u/8778937?v=4,http://www.economie.gouv.fr/dgfip,France,,False,1,2014-09-15T13:24:47Z,GitHub
4p,Plateforme traitement données drone et phenomobile - projet PHENOME,4P,https://forgemia.inra.fr/groups/4p,,,,,,1,,GitLab
bibliome,Bibliome team @ MaIAGE,Bibliome,https://forgemia.inra.fr/groups/bibliome,,,,,,0,,GitLab
DecisionBleDur,The work group of the DecisionBleDur project,DecisionBleDur,https://forgemia.inra.fr/groups/DecisionBleDur,,,,,,1,,GitLab
FLECHE,"Les acteurs du stage ""exploration du modèle FLECHE""",FLECHE,https://forgemia.inra.fr/groups/FLECHE,,,,,,0,,GitLab
GET_TRiX,Projects of the TRiX's facility,GeT_TRiX,https://forgemia.inra.fr/groups/GET_TRiX,https://forgemia.inra.fr/uploads/-/system/group/avatar/334/GeT_logo-RVB.png,,,,,1,,GitLab
irhs-bioinfo,Bioinformatic projects from BIDefI team at IRHS Angers.,IRHS-Bioinfo,https://forgemia.inra.fr/groups/irhs-bioinfo,,,,,,0,,GitLab
metasys,,Metasys,https://forgemia.inra.fr/groups/metasys,,,,,,0,,GitLab
phenotic,"Git repository of Phenotic team
https://team.forgemia.inra.fr/phenotic/channels/town-square",Phenotic,https://forgemia.inra.fr/groups/phenotic,https://forgemia.inra.fr/uploads/-/system/group/avatar/466/LogoPhenotic_100x340.jpg,,,,,0,,GitLab
QTL,Group for the QTL team. Mainly dedicated to development of Spell-QTL.,QTL,https://forgemia.inra.fr/groups/QTL,,,,,,1,,GitLab
record-open-archives,Open Access repositories for old projects involving the Record Team,Record Open Archives,https://forgemia.inra.fr/groups/record-open-archives,,,,,,2,,GitLab
svdetection,CNV discovery pipeline,SVdetection,https://forgemia.inra.fr/groups/svdetection,,,,,,3,,GitLab
sciproject,Group for manage sci project in *NIX environment,SciProject,https://forgemia.inra.fr/groups/sciproject,,,,,,1,,GitLab
siriusquality,"SQ is a process-based model that simulates the phenology and canopy development of small grain cereals and the fluxes of water, N and C in the soil-plant-atmosphere continuum. SQ is a component based software built around the BioMA framework.",SiriusQuality,https://forgemia.inra.fr/groups/siriusquality,https://forgemia.inra.fr/uploads/-/system/group/avatar/154/siriusQualityLogo2.png,,,,,0,,GitLab
umr-gdec,"Projects of UMR Génétique Diversité et Ecophysiologie des Céréales.

https://www6.clermont.inra.fr/umr1095

Contacts: 

<frederic.choulet@inra.fr>  

<helene.rimbert@inra.fr>  

<philippe.leroy.2@inra.fr>  ",UMR GDEC,https://forgemia.inra.fr/groups/umr-gdec,https://forgemia.inra.fr/uploads/-/system/group/avatar/848/gdec_logo.png,,,,,3,,GitLab
umr-astre,"https://umr-astre.cirad.fr/
Mixed Research Unit Animals, Health, Territories, Risks and Ecosystems
Cirad - Inra
Montpellier, France",UMR-ASTRE,https://forgemia.inra.fr/groups/umr-astre,https://forgemia.inra.fr/uploads/-/system/group/avatar/840/ASTRE_LOGO_ANGLAIS_couleur_lo.png,,,,,5,,GitLab
umr-boa,"Projects of UMR Biologie des Oiseaux et Aviculture.

https://www6.val-de-loire.inra.fr/unite-recherches-avicoles

contact: gitlab-boa@inra.fr",UMR-BOA,https://forgemia.inra.fr/groups/umr-boa,https://forgemia.inra.fr/uploads/-/system/group/avatar/516/Logo.jpg,,,,,1,,GitLab
adminforgemia,"Groupe d'administrateur de ForgeMIA : support-forgemia@inra.fr
",adminforgemia,https://forgemia.inra.fr/groups/adminforgemia,https://forgemia.inra.fr/uploads/-/system/group/avatar/24/root-prompt.jpg,,,,,1,,GitLab
anaee-dev,Développements pour Anaee-France,anaee-dev,https://forgemia.inra.fr/groups/anaee-dev,https://forgemia.inra.fr/uploads/-/system/group/avatar/175/AnaEE-France.png,,,,,0,,GitLab
bios4biol,Group for the Cati Bios4Biol,bios4biol,https://forgemia.inra.fr/groups/bios4biol,,,,,,2,,GitLab
Inist-CNRS,Open source developments at Institute for scientific and technical information,Inist-CNRS,https://github.com/Inist-CNRS,https://avatars0.githubusercontent.com/u/11553240?v=4,http://www.inist.fr,"Nancy, France",,False,81,2015-03-19T09:02:18Z,GitHub
vle-forge,,Virtual Laboratory Environment,https://github.com/vle-forge,https://avatars1.githubusercontent.com/u/2691935?v=4,http://www.vle-project.org,INRA,gauthier.quesnel@inra.fr,False,10,2012-10-31T14:45:32Z,GitHub
opendatateam,The international team in charge of udata related stuff.,Open Data Team,https://github.com/opendatateam,https://avatars2.githubusercontent.com/u/19330690?v=4,https://getudata.org,World,contact@opendata.team,True,37,2016-05-12T16:04:11Z,GitHub
gip-recia-snc,,GIP RECIA - SNC,https://gitlab.adullact.net/groups/gip-recia-snc,https://gitlab.adullact.net/uploads/-/system/group/avatar/2618/logo.jpg,,,,,0,,GitLab
PnEcrins,Etablissement public du ministère de l'environnement,Parc national des Ecrins,https://github.com/PnEcrins,https://avatars3.githubusercontent.com/u/10025600?v=4,http://www.ecrins-parcnational.fr,"Gap, France",,False,12,2014-12-01T10:56:16Z,GitHub
sipf,Service Informatique de Polynésie française,SIPF,https://github.com/sipf,https://avatars2.githubusercontent.com/u/20521749?v=4,https://www.service-public.pf,Polynésie Française,leonard.tavae@informatique.gov.pf,False,18,2016-07-18T17:06:49Z,GitHub
BRGM,,,https://github.com/BRGM,https://avatars0.githubusercontent.com/u/18071725?v=4,,,,False,17,2016-03-25T14:13:14Z,GitHub
betagouv,Incubateur de Services Numériques de la Direction Interministérielle du Numérique et du Système d'Information et de Communication de l'État,beta.gouv.fr,https://github.com/betagouv,https://avatars0.githubusercontent.com/u/7874148?v=4,https://beta.gouv.fr,France,,True,215,2014-06-12T19:55:44Z,GitHub
indsante,,Institut National des Données de Santé,https://github.com/indsante,https://avatars2.githubusercontent.com/u/47418323?v=4,https://www.indsante.fr/,France,,False,5,2019-02-07T11:40:43Z,GitHub
open-source,Projets open source UNICAEN.,open-source,https://git.unicaen.fr/groups/open-source,,,,,,4,,GitLab
datatourisme,,datatourisme,https://framagit.org/groups/datatourisme,https://framagit.org/uploads/-/system/group/avatar/6492/DATAtourisme-logo.jpg,,,,,3,,GitLab
cea-sec,IT Security at the French Alternative Energies and Atomic Energy Commission,CEA IT Security,https://github.com/cea-sec,https://avatars2.githubusercontent.com/u/5071925?v=4,https://twitter.com/cea_sec,France,,False,6,2013-07-23T09:31:16Z,GitHub
culturecommunication,,Ministère chargé de la culture,https://github.com/culturecommunication,https://avatars2.githubusercontent.com/u/3383102?v=4,http://www.culture.gouv.fr/,Paris,,False,4,2013-01-25T16:13:55Z,GitHub
HYCAR-Hydro,"Équipe HYDRO de l'UR HYCAR du centre IRSTEA d'Antony (Catchment Hydrology research group at IRSTEA in Antony)
",HYCAR-Hydro,https://gitlab.irstea.fr/groups/HYCAR-Hydro,https://gitlab.irstea.fr/uploads/-/system/group/avatar/315/logo_irstea_hydro_COUL_smooth_800x800.png,,,,,2,,GitLab
irrig,Public group for the project IRRIG,IRRIG2019,https://gitlab.irstea.fr/groups/irrig,,,,,,1,,GitLab
pole-is,Les projets du pôle Informatique Scientifique de la DSI - dsi.poleis@irstea.fr,Pôle IS ,https://gitlab.irstea.fr/groups/pole-is,,,,,,0,,GitLab
SIC2,"Projets relatifs à SIC2
http://sic.g-eau.net",SIC2,https://gitlab.irstea.fr/groups/SIC2,,,,,,0,,GitLab
SimAquaLife,Projects around the SimAquaLife framework.,SimAquaLife,https://gitlab.irstea.fr/groups/SimAquaLife,https://gitlab.irstea.fr/uploads/-/system/group/avatar/187/logo_carre.png,,,,,6,,GitLab
support,,Support Gitlab,https://gitlab.irstea.fr/groups/support,,,,,,1,,GitLab
cassiopee,Projets liés au développement du logiciel Cassiopée en collaboration avec l'AFB,cassiopee,https://gitlab.irstea.fr/groups/cassiopee,https://gitlab.irstea.fr/uploads/-/system/group/avatar/268/icon.png,,,,,0,,GitLab
copain,Copain Team Groupe,copain,https://gitlab.irstea.fr/groups/copain,,,,,,2,,GitLab
cormas-dev,Developments around the Cormas (COmmon pool Resources Multi-Agents Systems) platform.,cormas-dev,https://gitlab.irstea.fr/groups/cormas-dev,,,,,,1,,GitLab
eabx-formation,"Projets réalisés dans le cadre de formations, soit par le formateur, soit par les stagiaires",eabx-formation,https://gitlab.irstea.fr/groups/eabx-formation,,,,,,0,,GitLab
emax,,emax,https://gitlab.irstea.fr/groups/emax,,,,,,1,,GitLab
geopat,,geopat,https://gitlab.irstea.fr/groups/geopat,,,,,,1,,GitLab
irstea-ros,Développement robotique au sein de l'irstea dans le framework logiciel ROS (Robot Operating System),irstea-ros,https://gitlab.irstea.fr/groups/irstea-ros,,,,,,3,,GitLab
raspberry-pi,,raspberry-pi,https://gitlab.irstea.fr/groups/raspberry-pi,,,,,,2,,GitLab
shiny_lisc,Un ensemble d’applications shiny développées au LISC,shiny_lisc,https://gitlab.irstea.fr/groups/shiny_lisc,,,,,,0,,GitLab
frenchcropusage,team copain has created several thesaurii for document management and dataset description,thesaurus,https://gitlab.irstea.fr/groups/frenchcropusage,,,,,,0,,GitLab
vino,Réseau travaillant sur le projet Vino (Viable Numerical Objects).,vino,https://gitlab.irstea.fr/groups/vino,,,,,,1,,GitLab
etalab,"Etalab aide les administrations à ouvrir et utiliser les données qu’elles produisent, dans le but d’améliorer l’action publique. Un service du Premier ministre.",Etalab,https://github.com/etalab,https://avatars1.githubusercontent.com/u/5313610?v=4,https://www.etalab.gouv.fr,France,contact@etalab.gouv.fr,True,221,2013-08-26T16:03:40Z,GitHub
dgfip,Direction générale des Finances publiques,DGFIP,https://framagit.org/groups/dgfip,https://framagit.org/uploads/-/system/group/avatar/44511/LogoDGFP-fr.png,,,,,1,,GitLab
INRIA,"Inria, the French National Institute for computer science and applied mathematics",Inria,https://github.com/INRIA,https://avatars2.githubusercontent.com/u/2951919?v=4,https://www.inria.fr/,,,False,15,2012-12-03T13:03:05Z,GitHub
1_teamkayak,,1-Team Kayak,https://git.unistra.fr/groups/1_teamkayak,,,,,,0,,GitLab
1ag-2019,Groupes des étudiants de première année généraliste,1AG-2019,https://git.unistra.fr/groups/1ag-2019,,,,,,0,,GitLab
2017-T4-6,Groupe de travail pour le T4,2017-T4-6,https://git.unistra.fr/groups/2017-T4-6,https://git.unistra.fr/uploads/-/system/group/avatar/837/teamlogo.png,,,,,1,,GitLab
A31DhordainSchwehr,,A31DhordainSchwehr,https://git.unistra.fr/groups/A31DhordainSchwehr,,,,,,0,,GitLab
AOEINT,,AOEINT,https://git.unistra.fr/groups/AOEINT,,,,,,9,,GitLab
AT1-Projet-SuperCopter,Projet contenant le jeu Choplifter pour Android.,AT1-Projet-SuperCopter,https://git.unistra.fr/groups/AT1-Projet-SuperCopter,,,,,,0,,GitLab
AT1A,,AT1A,https://git.unistra.fr/groups/AT1A,,,,,,1,,GitLab
algdis,,AlgDis,https://git.unistra.fr/groups/algdis,,,,,,1,,GitLab
artichaud,,ArtiChaud,https://git.unistra.fr/groups/artichaud,,,,,,0,,GitLab
BAS18-T4-B,,BAS18-T4-B,https://git.unistra.fr/groups/BAS18-T4-B,,,,,,1,,GitLab
BAS18-T4-D,,BAS18-T4-D,https://git.unistra.fr/groups/BAS18-T4-D,,,,,,1,,GitLab
BLL17_T3_D,,BLL17_T3_D,https://git.unistra.fr/groups/BLL17_T3_D,,,,,,1,,GitLab
BrickDroid,,BrickDroid,https://git.unistra.fr/groups/BrickDroid,https://git.unistra.fr/uploads/-/system/group/avatar/202/brickDroid_2.png,,,,,0,,GitLab
C-2018,"Groupe des étudiants d'Informatique et Réseaux 1ère année, Promo 2018",C-2018,https://git.unistra.fr/groups/C-2018,,,,,,0,,GitLab
CAMMA-public,Public projects from Research Group CAMMA,CAMMA-public,https://git.unistra.fr/groups/CAMMA-public,,,,,,1,,GitLab
CeintureNoire,"Ismael EL KASBAOUI, Dresse Yassine, Mickaël Kenan",CeintureNoire,https://git.unistra.fr/groups/CeintureNoire,,,,,,0,,GitLab
dasgroup,,DASGROUP,https://git.unistra.fr/groups/dasgroup,,,,,,0,,GitLab
T4desMeilleurs,non je rigole,DIP18-T4-B,https://git.unistra.fr/groups/T4desMeilleurs,,,,,,1,,GitLab
DPI_ENERGIE,,DPI_ENERGIE,https://git.unistra.fr/groups/DPI_ENERGIE,,,,,,0,,GitLab
UPSud,,Université Paris Sud,https://gitlab.adullact.net/groups/UPSud,https://gitlab.adullact.net/uploads/-/system/group/avatar/1922/xlogo-psud-saclay.jpg.pagespeed.ic.JKQOzRZRLy.jpg,,,,,1,,GitLab
CNRS-DSI-Dev,OSS Github's repository for CNRS DSI Development Department,CNRS DSI Development Department,https://github.com/CNRS-DSI-Dev,https://avatars2.githubusercontent.com/u/8994995?v=4,,,,False,25,2014-10-02T09:48:14Z,GitHub
consultation-gouv,,Consultation.gouv.fr,https://github.com/consultation-gouv,https://avatars2.githubusercontent.com/u/26903975?v=4,,,support.consultation@etalab.gouv.fr,False,4,2017-04-04T15:39:43Z,GitHub
fabnumdef,,Fabrique numérique,https://github.com/fabnumdef,https://avatars2.githubusercontent.com/u/45469312?v=4,,,,False,10,2018-11-29T20:30:03Z,GitHub
ia-flash,Fiabiliser l'envoi de contraventions,IA Flash,https://github.com/ia-flash,https://avatars2.githubusercontent.com/u/48490113?v=4,https://iaflash.fr,,,False,6,2019-03-12T17:14:09Z,GitHub
INRA,See Inra's policy towards software licensing and hosting: https://www6.inra.fr/datapartage,Institut national de la recherche agronomique,https://github.com/INRA,https://avatars3.githubusercontent.com/u/28700278?v=4,http://www.inra.fr/,France,,False,6,2017-05-15T07:03:28Z,GitHub
LINCnil,Laboratoire d'innovation numérique de la CNIL,LINC,https://github.com/LINCnil,https://avatars2.githubusercontent.com/u/6369551?v=4,http://linc.cnil.fr/,France,ip@cnil.fr,False,14,2014-01-10T14:24:33Z,GitHub
pidila,"Projets de la Direction de l'information légale et administrative
https://pidila.gitlab.io/",pidila,https://gitlab.com/groups/pidila,https://assets.gitlab-static.net/uploads/-/system/group/avatar/834955/pidila.png,,,,,9,,GitLab
pdn-certic,Groupe de développement et de recherche du Pôle Document Numérique (MRSH / UNICAEN) et du Centre de Ressources Technologiques pour les TIC (DSI / UNICAEN),pdn-certic,https://git.unicaen.fr/groups/pdn-certic,,,,,,1,,GitLab
InriaMecsci,,,https://github.com/InriaMecsci,https://avatars3.githubusercontent.com/u/1922081?v=4,,,,False,35,2012-07-04T13:01:01Z,GitHub
OPIDoR,Optimisation pour le Partage et l'Interopérabilité des Données de la Recherche,,https://github.com/OPIDoR,https://avatars3.githubusercontent.com/u/22028866?v=4,,Nancy,,False,2,2016-09-06T13:13:06Z,GitHub
openfisca,A versatile microsimulation software,OpenFisca,https://framagit.org/groups/openfisca,https://framagit.org/uploads/-/system/group/avatar/221/openfisca-1794404.png,,,,,10,,GitLab
SGMAP-AGD,,Administrateur général des données,https://github.com/SGMAP-AGD,https://avatars2.githubusercontent.com/u/10611493?v=4,,,,False,23,2015-01-20T09:06:59Z,GitHub
minagri-initial,Incubateur de services numériques du ministère de l'agriculture et de l'alimentation,INITIAL,https://github.com/minagri-initial,https://avatars2.githubusercontent.com/u/17923649?v=4,,Toulouse,celia.carceller-kemiche@agriculture.gouv.fr,False,7,2016-03-18T08:50:13Z,GitHub
atlanmod,"(IMT-Atlantique,  LS2N)",Atlanmod,https://github.com/atlanmod,https://avatars3.githubusercontent.com/u/5813030?v=4,http://www.atlanmod.org,Nantes,contact@atlanmod.org,False,59,2013-10-30T11:31:21Z,GitHub
BaseAdresseNationale,,Base Adresse Nationale (BAN),https://github.com/BaseAdresseNationale,https://avatars2.githubusercontent.com/u/19411687?v=4,https://adresse.data.gouv.fr/,France,adresse@data.gouv.fr,False,5,2016-05-17T15:14:06Z,GitHub
OCSInventory-NG,Open Computers and Software Inventory Next Generation is an assets management and deployment solution.,OCS Inventory NG,https://github.com/OCSInventory-NG,https://avatars1.githubusercontent.com/u/12696216?v=4,http://www.ocsinventory-ng.org,France,contact@ocsinventory-ng.org,False,15,2015-06-01T12:45:13Z,GitHub
snosan-tools,Observatoire accidentologie plaisance et loisirs nautiques France,SNOSAN,https://github.com/snosan-tools,https://avatars3.githubusercontent.com/u/41202072?v=4,https://www.snosan.fr,Eaux françaises,tech@snosan.fr,True,8,2018-07-13T16:00:07Z,GitHub
DGAC,,,https://github.com/DGAC,https://avatars3.githubusercontent.com/u/733152?v=4,,France,,False,6,2011-04-16T10:18:10Z,GitHub
diplomatiegouvfr,Dépot public du ministère de l'Europe et des Affaires étrangères,,https://github.com/diplomatiegouvfr,https://avatars1.githubusercontent.com/u/12811797?v=4,http://www.diplomatie.gouv.fr,,,False,20,2015-06-09T09:51:13Z,GitHub
ACG,This group gathers together the projects related to Abstract Categorial Grammars.,ACG,https://gitlab.inria.fr/groups/ACG,,,,,,0,,GitLab
AlgebraicGeometricModeling,Julia packages for algebraic geometry and geometric modeling,AlgebraicGeometricModeling,https://gitlab.inria.fr/groups/AlgebraicGeometricModeling,,,,,,7,,GitLab
Alpha,Alpha language,Alpha,https://gitlab.inria.fr/groups/Alpha,,,,,,2,,GitLab
andiamo,Analyse Discursive Automatique Multi-Objectifs ,AnDiAMO,https://gitlab.inria.fr/groups/andiamo,https://gitlab.inria.fr/uploads/-/system/group/avatar/6805/keep-calm-and-andiamo-avanti.png,,,,,2,,GitLab
CAPES-Math,,CAPES-Math,https://gitlab.inria.fr/groups/CAPES-Math,,,,,,2,,GitLab
cidre-public,Public resources for the Cidre team ,CIDRE Public,https://gitlab.inria.fr/groups/cidre-public,,,,,,3,,GitLab
comprise,,COMPRISE,https://gitlab.inria.fr/groups/comprise,,,,,,1,,GitLab
ClassCode,Developments for ClassCode,ClassCode,https://gitlab.inria.fr/groups/ClassCode,,,,,,4,,GitLab
Codes,,Codes,https://gitlab.inria.fr/groups/Codes,,,,,,0,,GitLab
compass,Public repository for ComPASS code,ComPASS,https://gitlab.inria.fr/groups/compass,,,,,,2,,GitLab
CompCert,Side projects related to the CompCert formally-verified C compiler (http://compcert.inria.fr/),CompCert,https://gitlab.inria.fr/groups/CompCert,,,,,,1,,GitLab
Conferences,Git group for Conference presentation and posters.,Conferences,https://gitlab.inria.fr/groups/Conferences,,,,,,1,,GitLab
addok,,,https://github.com/addok,https://avatars3.githubusercontent.com/u/16663622?v=4,,,,False,14,2016-01-12T09:02:36Z,GitHub
StartupsPoleEmploi,Les Startups d’État de l'incubateur de Pôle emploi,Startups d’État Pôle emploi,https://github.com/StartupsPoleEmploi,https://avatars0.githubusercontent.com/u/24388500?v=4,http://www.pole-emploi.fr,Paris / France,,False,19,2016-12-05T12:40:31Z,GitHub
banquedefrance,,Banque de France,https://github.com/banquedefrance,https://avatars3.githubusercontent.com/u/22008170?v=4,,,,False,2,2016-09-05T15:04:02Z,GitHub
PrefectureDePolice,,,https://github.com/PrefectureDePolice,https://avatars0.githubusercontent.com/u/22055204?v=4,,,,False,14,2016-09-07T14:27:32Z,GitHub
messagerie-melanie2,Dépot public pour la messagerie Mél,Messagerie Mél,https://github.com/messagerie-melanie2,https://avatars2.githubusercontent.com/u/10559275?v=4,,,,False,26,2015-01-16T09:06:53Z,GitHub
cea-hpc,,,https://github.com/cea-hpc,https://avatars2.githubusercontent.com/u/1496664?v=4,http://www-hpc.cea.fr/index-en.htm,,,False,29,2012-03-03T14:54:06Z,GitHub
DISIC,Direction Interministérielle du numérique et des Systèmes d'Information et de Communication,DINSIC,https://github.com/DISIC,https://avatars2.githubusercontent.com/u/12644724?v=4,https://www.numerique.gouv.fr/dinsic/,Paris,communication.dinsic@modernisation.gouv.fr,False,56,2015-05-28T14:03:10Z,GitHub
