nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,derniere_modification,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
msplinetools,agm,GitLab,https://gitlab.inria.fr/agm/msplinetools,,,False,2017-09-28T15:55:36Z,2017-10-06T11:43:57Z,2017-10-06T11:43:57Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/agm/msplinetools
ember-cli-matomo-tag-manager,1024pix,GitHub,https://github.com/1024pix/ember-cli-matomo-tag-manager,Ember addon that integrates Matomo Tag Manager.,False,False,2019-07-04T08:10:32Z,2020-09-26T12:52:32Z,2020-09-26T13:01:43Z,,1,0,MIT License,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/1024pix/ember-cli-matomo-tag-manager
gvirt,igrida,GitLab,https://gitlab.inria.fr/igrida/gvirt,IGRIDA/Grid5000 virtualisation tool,,False,2020-01-29T08:21:08Z,2020-06-26T07:24:12Z,2020-06-26T07:24:12Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.inria.fr/igrida/gvirt
src_platform_CLIP-Pkg-Install,clipos-archive,GitHub,https://github.com/clipos-archive/src_platform_CLIP-Pkg-Install,CLIP::Pkg::Install - CLIP package install functions,False,False,2018-09-20T09:38:07Z,2018-09-20T09:38:12Z,2018-09-20T09:38:14Z,https://clip-os.org,0,0,GNU Lesser General Public License v2.1,0,Perl,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/clipos-archive/src_platform_CLIP-Pkg-Install
erats,erasme,GitHub,https://github.com/erasme/erats,TypeScript library to write web app,False,False,2017-11-06T12:36:13Z,2020-10-07T14:26:52Z,2020-10-07T14:26:48Z,,1,2,MIT License,0,TypeScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/erasme/erats
linkfluence-api,medialab,GitHub,https://github.com/medialab/linkfluence-api,python tools to collect linkfluence data,False,False,2017-10-19T15:28:18Z,2019-02-20T14:58:08Z,2017-11-27T14:54:03Z,,1,1,GNU General Public License v3.0,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/medialab/linkfluence-api
hyphe-corpus-cleaner,medialab,GitHub,https://github.com/medialab/hyphe-corpus-cleaner,Simple script and related Docker container to automatically remove old corpus from an Hyphe instance.,False,False,2018-02-16T14:53:29Z,2019-03-21T10:13:14Z,2019-03-21T10:13:12Z,,1,1,GNU Affero General Public License v3.0,0,Python,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/medialab/hyphe-corpus-cleaner
ReproducibleCartography,riatelab,GitHub,https://github.com/riatelab/ReproducibleCartography,ICC 2017 Reproducible Cartography,False,False,2016-10-25T08:19:35Z,2019-05-17T10:32:47Z,2017-07-03T16:37:06Z,,19,3,,0,HTML,"r,r-spatial,r-stats,reproducible-research",True,https://archive.softwareheritage.org/browse/origin/https://github.com/riatelab/ReproducibleCartography
mfdata,metwork-framework,GitHub,https://github.com/metwork-framework/mfdata,metwork/mfdata module ,False,False,2018-09-20T12:03:44Z,2020-10-10T01:28:08Z,2020-10-10T02:22:59Z,http://metwork-framework.org/,4,4,"BSD 3-Clause ""New"" or ""Revised"" License",4,Python,"autoreadme2,integration-level-5",True,https://archive.softwareheritage.org/browse/origin/https://github.com/metwork-framework/mfdata
expose-git,formation-info,GitLab,https://gitlab.math.unistra.fr/formation-info/expose-git,"Une présentation de Git et de GitLab à l'usage des développeurs, des administrateurs et des utilisateurs de fichiers sources.",,False,2015-12-18T14:03:03Z,2020-01-07T10:54:34Z,2020-01-07T10:54:34Z,,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://gitlab.math.unistra.fr/formation-info/expose-git
